Hanging	Foot	Nlon	Nlat	Ndepth	Nphi	Re	Rn	Strike	Dip	Mo Rate
ECCR	JdFa	235.017	41.589	7.5	0.571	-20.4	-12.7	356.8	4.8	7.78E+15
SoCR	JdFa	235.002	41.792	7.5	0.571	-27.9	-14.4	356.8	4.9	7.59E+15
SoCR	JdFa	234.987	41.995	7.5	0.619	-28.1	-14.4	357.3	5	8.96E+15
SoCR	JdFa	234.971	42.245	7.5	0.619	-28.3	-14.4	357.3	5.1	9.72E+15
SoCR	JdFa	234.955	42.495	7.5	0.571	-28.6	-14.4	357.3	5.2	8.82E+15
SoCR	JdFa	234.939	42.745	7.5	0.571	-28.8	-14.5	357.3	5.3	8.67E+15
SoCR	JdFa	234.923	42.996	7.5	0.703	-29	-14.5	356.2	5.4	1.05E+16
NoCR	JdFa	234.9	43.246	7.5	0.703	-30.7	-15.7	356.2	5.4	1.04E+16
NoCR	JdFa	234.877	43.496	7.5	0.608	-30.9	-15.7	356.1	5.5	8.92E+15
NoCR	JdFa	234.853	43.746	7.5	0.608	-31.1	-15.8	356.1	5.5	8.86E+15
NoCR	JdFa	234.83	43.996	7.5	0.659	-31.3	-15.8	357.5	5.5	9.57E+15
NoCR	JdFa	234.815	44.246	7.5	0.659	-31.6	-15.8	357.5	5.5	9.64E+15
NoCR	JdFa	234.799	44.497	7.5	0.638	-31.8	-15.8	357.5	5.4	9.42E+15
NoCR	JdFa	234.784	44.747	7.5	0.638	-32	-15.8	357.5	5.4	9.50E+15
NoCR	JdFa	234.768	44.997	7.5	0.557	-32.2	-15.8	358.4	5.3	8.39E+15
NoCR	JdFa	234.758	45.245	7.5	0.557	-32.4	-15.9	358.4	5.1	8.73E+15
NoCR	JdFa	234.748	45.492	7.5	0.499	-32.6	-15.9	358.4	4.8	8.22E+15
NoCR	JdFa	234.738	45.739	7.5	0.499	-32.8	-15.9	358.4	4.6	8.62E+15
NoCR	JdFa	234.728	45.987	7.5	0.368	-33	-15.9	352.2	4.4	5.29E+15
NoCR	JdFa	234.699	46.135	7.5	0.368	-33.1	-15.9	352.3	4.2	4.12E+15
NoCR	JdFa	234.67	46.282	7.5	0.322	-33.2	-15.9	352.3	4.1	3.75E+15
NoCR	JdFa	234.641	46.43	7.5	0.322	-33.4	-16	352.3	3.9	3.89E+15
NoCR	JdFa	234.612	46.578	7.5	0.285	-33.5	-16	352.3	3.8	3.56E+15
NoCR	JdFa	234.583	46.726	7.5	0.285	-33.6	-16	352.3	3.7	3.69E+15
NoCR	JdFa	234.554	46.873	7.5	0.268	-33.7	-16.1	352.4	3.6	3.57E+15
NoCR	JdFa	234.525	47.021	7.5	0.268	-33.8	-16.1	352.4	3.5	3.68E+15
Olym	JdFa	234.496	47.169	7.5	0.224	-37.6	-21.4	339.1	3.4	2.57E+15
Olym	JdFa	234.445	47.259	7.5	0.224	-37.8	-21.5	339.1	3.4	2.01E+15
Olym	JdFa	234.394	47.349	7.5	0.209	-38	-21.7	339.1	3.4	1.87E+15
Olym	JdFa	234.344	47.44	7.5	0.209	-38.2	-21.8	339.2	3.5	1.87E+15
Olym	JdFa	234.293	47.53	7.5	0.22	-38.5	-21.9	327.8	3.6	2.38E+15
Olym	JdFa	234.179	47.653	7.5	0.22	-38.8	-22.1	327.9	3.8	2.72E+15
Olym	JdFa	234.065	47.775	7.5	0.29	-39	-22.4	327.9	4	3.39E+15
Olym	JdFa	233.95	47.898	7.5	0.29	-39.3	-22.7	328	4.2	3.19E+15
Olym	JdFa	233.836	48.02	7.5	0.325	-39.6	-22.9	327.4	4.5	3.25E+15
Olym	JdFa	233.729	48.132	7.5	0.325	-39.9	-23.2	327.5	4.7	2.97E+15
Olym	JdFa	233.622	48.244	7.5	0.348	-40.1	-23.4	327.5	4.9	3.04E+15
Olym	JdFa	233.515	48.356	7.5	0.348	-40.4	-23.7	327.6	5.1	2.91E+15
Olym	JdFa	233.408	48.468	7.5	0.357	-40.7	-23.9	327	5.3	3.04E+15
Olym	JdFa	233.286	48.593	7.5	0.357	-40.9	-24.2	327.1	5.5	3.14E+15
Olym	JdFa	233.163	48.718	7.5	0.352	-41.2	-24.4	327.2	5.6	3.02E+15
Olym	JdFa	233.041	48.844	7.5	0.352	-41.5	-24.7	327.2	5.7	2.95E+15
Olym	JdFa	232.918	48.969	7.5	0.357	-41.8	-25	325.3	5.8	2.80E+15
Olym	JdFa	232.8	49.081	7.5	0.357	-42	-25.3	325.4	5.9	2.65E+15
Olym	JdFa	232.683	49.192	7.5	0.365	-42.3	-25.5	325.4	5.9	2.70E+15
Olym	JdFa	232.565	49.303	7.5	0.365	-42.5	-25.8	325.5	5.9	2.68E+15
NoVI	JdFa	232.448	49.415	7.5	0.365	-43.6	-26.2	325.5	5.9	1.34E+15
WCCR	JdFa	235.405	40.344	8.75	0.62	-19.8	-3	351.1	4.5	4.54E+15
WCCR	JdFa	235.363	40.548	8.75	0.62	-19.9	-2.5	351.1	4.5	9.03E+15
WCCR	JdFa	235.321	40.752	8.75	0.637	-20.1	-2.1	351.1	4.6	9.18E+15
WCCR	JdFa	235.279	40.957	8.75	0.637	-20.2	-1.6	351.2	4.6	9.09E+15
